Book ID,Title,Subtitle,Author,Publisher,Book Type ID,Note,ISBN,Compiler,Last Update Date,Add Date
745,탈무드의 고급 유머 2,NULL,강문호,서로사랑,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
746,젊은 아빠 엄마에게,NULL,이유아,한국교육연구원,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
747,탈무드 2,랍비가 해석한 모세오경,마빈토카이어,쉐마교육연구원,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
748,내 아이 왜 이럴까,어린이 감정 이해와 상담,"노만라이트, 게리올리버",죠이선교회출판부,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
749,"하나님, 문제가 생겼어요",NULL,벤페르구손,도서출판 알돌기획,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
750,개똥벌레 한마리가 세상을 밝힐 수 있겠느냐,사랑하는 사람들이 함께 생각하는 묵상집,이관희,베드로 서원,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
751,사랑하기 어려울 때 사랑을 배우기,"관계개선, 회복을 위한 사랑의 메세지",데이비드 윌스,예찬사,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
752,당신의 과거와 화해하라,NULL,노만라이트,죠이선교회출판부,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
753,바보들은 항상 결심만 한다,하루에도 몇번씩 변해야지라고 생각만 하는 당신에게,팻맥라건,예문,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
754,관계의 가면,NULL,러셀윌링엄,IVP,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
755,교회가기 싫은 77가지 이유,우리 젊은 신세대 왜 교회를 멀리하나,이만재,규장,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
756,타고난 성격으로 최고가 되라,"그저 그런 나의 삶, 통째로 바꾸고 싶다",캐빈 리먼,비전과 리더쉽,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
757,그리스도인은 인간을 어떻게 이해해야 하는가,NULL,김진,생명의 말씀사,4,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
758,당신은 확실히 믿습니까,확신 시리즈,김상복,나침반 사,3,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
759,사랑과 믿음의 사람들 1,NULL,장수철 엮은이,보이스사,3,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
760,사랑이 있어도 때로는 눈물겹다,<밥퍼>아내 김연수 시인의 마음속 이야기,김연수,동아일보사,3,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
761,희망을 캐는 개척자,90년대 개척교회는 부흥이 안돼하는 말을 여지없이 깨버린,김학중,규장,3,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
762,하나님이 세우는 지도자,하나님은 사람을 찾으신다,전가화,한국교회영성원,3,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
763,교회는 다니지만 왜 사는지 모른다면,의미있는 삶의 다섯가지 비결,짐 그라프,21세기 북스,3,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
764,영광의 문,"북미선교사들의 영원한 심장, 젊은 5인의 순교 이야기",엘리자베스엘리엇,복있는 사람,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
765,하나님의 계산법,드리면 드릴수록 더 많은 것을 주시는,셀윈휴즈,규장,7,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
766,인도의 길을 걷고 있는 예수,NULL,스탠리존스,평단,6,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
767,끼,신나게 사는,서정희,학지사,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
768,가시고기,사랑의 눈을 틔워주는 행복한 가시고기 이야기,조창인,밝은세상,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
769,고정관념은 깨도 아프지않다,NULL,이의용,민예원,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
770,감사의 힘,0.3초의 기적,데보라 노빌,위즈덤하우스,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
771,광장/구운몽,문학과 지성 소설 명작선,최인훈,문학과 지성사,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
772,로마인 이야기 1,로마는 하루아침에 이루어지지 않았다,시오노 나나미,한길사,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
773,마음을 열어주는 101가지 이야기,뉴욕타임스 베스트셀러 1위,"잭캔필드, 마크빅터한센",이레,14,NULL,89-85599-06-2,NULL,2011-06-12 00:00:00.000,2010-02-21 00:00:00.000
774,탈문맥,건축학교수가 쓴 한국 최초의 건축소설,양용기,답게,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
775,탈무드 (성전),오천년 유대인의 지혜와 슬기,마빈토케이어,아이템북스,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
776,사소한 것에 목숨걸지 마라,부자되기 편,리처드칼슨,도솔,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
777,선과 악을 다루는 35가지 방법,부와 명예를 지키는 마음의 비법,후안 마누엘,자작나무,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
778,신화는 없다,NULL,이명박,김영사,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
779,토론토에서 히말라야 고산족 마을따라,NULL,민혜기,나눔사,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
780,호판댁 나귀는 약과도 싫다하네,이규태의 개화백경 2,이규태,조선일보사,14,NULL,9788973652921,NULL,2015-09-26 00:00:00.000,2010-02-21 00:00:00.000
781,얼굴 빨개지는 아이,NULL,장자끄 상빼,열린책들,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
782,캐나다의 하늘 아래,NULL,홍준수,캐나다 한국일보사,14,NULL,NULL,NULL,2016-02-07 00:00:00.000,2010-02-21 00:00:00.000
783,그 남자 그 여자 2,NULL,이미나,랜덤하우스,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
784,"그 남자 그 여자 ",NULL,이미나,랜덤하우스,14,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
785,지하철 사랑의 편지,출퇴근 전철을 기다리면서 만난 잔잔한 감동의 글,여운학,규장,9,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
786,생사를 건 교회개혁,한국교회 개혁 필사본,김동호,규장,11,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
787,화가 풀리면 인생도 풀린다,NULL,틱낫한,명진출판,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
788,영혼을 위한 닭고기 수프,NULL,잭 캔필드 & 마크 빅터 한센,푸른숲,14,NULL,NULL,NULL,2010-02-28 00:00:00.000,2010-02-28 00:00:00.000
789,영혼의 리더십,NULL,스탠리 윌퍼트,워싱톤포스트,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
790,살아 있는 동안 꼭 해야할 49가지,NULL,탄줘잉,위즈덤하우스,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
791,부모와 자녀를 잇는 사랑의 다리,NULL,차호원,생명의 말씀사,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
792,크리스천 웰빙 시리즈5 암,NULL,돈 콜버트,생명의 말씀사,12,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
793,수용소의 노래 평양의 어항,NULL,강철환,시대정신,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
794,신비의 사기꾼들,NULL,조르주 & 앙리,궁리,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
795,우리는 사소한 것에 목숨을 건다,NULL,리처드 칼슨,창작시대,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
796,책속의 책 3,NULL,폴임,우리문학사,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
797,나폴레옹의 전쟁금언,NULL,나폴레옹,책세상,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
799,우리들의 행복한 시간,NULL,공지영,푸른숲,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
800,"고맙다, 논리야",NULL,위기철,사계절,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
